palavra,nivel,tamanho
oi,facil,2
pai,facil,3
mae,facil,3
sol,facil,3
lua,facil,3
ceu,facil,3
mar,facil,3
rio,facil,3
flor,facil,4
cor,facil,3
som,facil,3
dia,facil,3
tia,facil,3
avo,facil,3
rei,facil,3
bom,facil,3
mal,facil,3
bem,facil,3
uno,facil,3
fio,facil,3
leo,facil,3
asa,facil,3
uva,facil,3
eco,facil,3
ala,facil,3
are,facil,3
era,facil,3
oro,facil,3
amo,facil,3
ela,facil,3
ele,facil,3
ilo,facil,3
imo,facil,3
ito,facil,3
ola,facil,3
ido,facil,3
ado,facil,3
amo,facil,3
ato,facil,3
ido,facil,3
edo,facil,3
ala,facil,3
ano,facil,3
aro,facil,3
oso,facil,3
gato,medio,4
casa,medio,4
mesa,medio,4
bola,medio,4
dado,medio,4
faca,medio,4
lima,medio,4
tela,medio,4
copo,medio,4
sapo,medio,4
pato,medio,4
mala,medio,4
cama,medio,4
boca,medio,4
pano,medio,4
fogo,medio,4
lago,medio,4
tubo,medio,4
cubo,medio,4
rato,medio,4
nave,medio,4
vela,medio,4
piso,medio,4
lixo,medio,4
selo,medio,4
pulo,medio,4
pote,medio,4
cinto,medio,5
tinta,medio,5
lente,medio,5
ponte,medio,5
prato,medio,5
carta,medio,5
pedra,medio,5
ponto,medio,5
mundo,medio,5
tempo,medio,5
forma,medio,5
corpo,medio,5
ciclo,medio,5
plano,medio,5
trigo,medio,5
prata,medio,5
brisa,medio,5
claro,medio,5
grito,medio,5
fraco,medio,5
crise,medio,5
pluma,medio,5
drama,medio,5
bloco,medio,5
clima,medio,5
flora,medio,5
globo,medio,5
grato,medio,5
largo,medio,5
magro,medio,5
negro,medio,5
nobre,medio,5
pardo,medio,5
plena,medio,5
pleno,medio,5
primo,medio,5
quase,medio,5
raiva,medio,5
risco,medio,5
rosto,medio,5
amigo,dificil,5
cidade,dificil,6
escola,dificil,6
camisa,dificil,6
panela,dificil,6
cadeira,dificil,7
caderno,dificil,7
garrafa,dificil,7
telefone,dificil,8
noticia,dificil,7
revista,dificil,7
palavra,dificil,7
familia,dificil,7
empresa,dificil,7
produto,dificil,7
mercado,dificil,7
cliente,dificil,7
sistema,dificil,7
programa,dificil,8
codigo,dificil,6
arquivo,dificil,7
memoria,dificil,7
processo,dificil,8
evento,dificil,6
controle,dificil,8
analise,dificil,7
modelo,dificil,6
dados,dificil,5
usuario,dificil,7
servidor,dificil,8
internet,dificil,8
rede,dificil,4
conexao,dificil,7
plataforma,dificil,10
aplicacao,dificil,9
servico,dificil,7
mensagem,dificil,8
comando,dificil,7
resposta,dificil,8
entrada,dificil,7
saida,dificil,5
interface,dificil,9
estrutura,dificil,9
variavel,dificil,8
funcao,dificil,6
classe,dificil,6
metodo,dificil,6
parametro,dificil,9
retorno,dificil,7
execucao,dificil,8
teste,dificil,5
validacao,dificil,9
integracao,dificil,10
deploy,dificil,6
monitoramento,dificil,13
seguranca,dificil,9
autenticacao,dificil,12
criptografia,dificil,12
escalabilidade,dificil,14
disponibilidade,dificil,15
infraestrutura,dificil,14
orquestracao,dificil,12
container,dificil,9
processamento,dificil,13
distribuicao,dificil,12
paralelismo,dificil,11
concorrencia,dificil,12
